text,label,roberta_results,btweet_results,bert_results,distil_results,rlarge_results,ensemble
mom speaks phone compose text brother angry yells phone telling type like brother able tell even yelling <emoji : woman_facepalming_light_skin_tone>,0,0,0,0,0,0,0
url great video kanebrown showing appreciation military westandtogether maga,0,0,0,0,0,0,0
fire bitch <url>,1,1,1,1,1,1,1
<user> best player ever,0,0,0,0,0,0,0
<user> talks shit buff chicken dip dude buff chicken dip,1,1,1,1,1,1,1
<user> impulsive reaction looking gun head bowed low mane mess happens,0,1,0,1,0,0,0
<user> <user> ol bob sez white existence crime alrighty another country scratch tourist destination list south africa join cuba venezuela entire european union liking poland everyday even russia piss liberals,0,1,1,1,1,1,1
<user> holy shit way,1,1,1,1,1,1,1
asmr eel sushi salmon sushi eating sounds big bites talking yaya asmr url,0,0,0,0,0,0,0
<user> would someone videoing inside job <emoji : flushed_face> asking friend hope ok,0,0,0,0,0,0,0
<user> tbh catchy fuck tho,0,1,1,1,1,1,1
would never hit woman would slap hoe,1,1,1,1,1,1,1
<user> bitch know body ready <emoji : face_with_tears_of_joy>,1,1,1,1,1,1,1
<user> <user> common sense gun control would indicate looney leftists possession firearms safety,0,0,0,0,0,0,0
<user> <user> ok two cents end yalls friendship maybe actually say sorry first man <emoji : grinning_face> <emoji : grinning_face> <emoji : grinning_face> taking either side depend people peep let happy,0,0,0,0,0,0,0
mostly restaurants fat ho rt <user> 20 contacts phone hoe,1,1,1,1,1,1,1
<user> <user> disgusting hypocrite,1,1,1,1,1,1,1
<user> <user> <user> way go david <emoji : thumbs_up> love someone send liberals tessyfiy morning keep fight <emoji : united_states> <emoji : united_states> <emoji : united_states>,1,0,0,0,0,0,0
rt <user> bitch lebron counted like 6 8217 eem give miami 6 yrs 128514 128514 128514,1,1,1,1,1,1,1
<user> bringing honor decency yoyo picture rich,0,0,0,0,0,0,0
rt <user> bet pussy smell like dried oysters,1,1,1,1,1,1,1
<user> <user> inciting violence via twitter accounts supporting potus made lists us targeted antifa etc,1,1,0,0,0,0,0
<user> fact checking tweet democrat would expect tweets political candidates ap liberals,0,0,0,0,0,0,0
<user> <user> billionaires making donations democrats help advance left wing causes simply cause democrats act interest billionaires like republicans regardless absurd conspiracy theories alex jones pjw tell liberals like,0,0,0,0,0,0,0
<user> ontario liberal mp leona alleslev using jump queue faithful back benchers probably furious join liberals protest,0,0,0,0,0,0,0
<user> denial stage almost admission,0,0,0,0,0,0,0
<user> <user> american terrorists need strict punishment lawless thugs stop powdering antifa ass backtheblue <emoji : blue_heart> <emoji : black_heart> gettough,1,1,1,1,1,1,1
<user> need go away one wants see media advocating gun control unseemly,1,1,1,0,0,1,1
<user> <user> convert hard discouraged father jewish jewish,0,0,0,0,0,0,0
<user> <user> <user> <user> <user> fucking fast holy shit lol,1,1,1,1,1,1,1
<user> leading trump opposition since day òne,0,0,0,0,0,0,0
<user> physically threatening boys us completely slandering name wasnt im honestly saying shit ya course like ya said fucked least owned apologized death threats way line,1,1,1,1,1,1,1
<user> get sleep pussy,1,1,1,1,1,1,1
<user> liberalism remarkable sucessful taking sides political spectrum today left liberals emphasis minority issues welfare today right also mostly liberals emphasis nationalism anti immigration,0,0,0,0,0,0,0
pop dontae already amp got bitch dah big 30 yaknow 128553 128588 128176 127922,1,1,1,1,1,1,1
<user> yeah conservatives work real industries like coal mines oil rigs duhh,0,0,0,0,0,0,0
<user> <user> hell think acussed mean guilty women accused man man judgekavanaugh voice right clear name needs zipit <emoji : zipper-mouth_face>,1,0,1,1,1,1,1
<user> <user> <user> continue support absurd spending bills conservatives continue gripe ryan mcconnell giving trump total pass url,0,0,0,0,0,0,0
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> hillary condemns kavanaugh bill clinton accuser responds url via <user>,0,0,0,0,0,0,0
<user> conservatives liberals elevate person make presidential nominee person like trump seems immune,0,0,0,0,0,0,0
second time gentrified bitches got nerves morning,1,1,1,1,1,1,1
<user> hey <user> leave ok ok without let us know much better things end,0,0,0,0,0,0,0
<user> open world spider man games tho need avengers game niggas,1,1,1,1,1,1,1
<user> <user> ie make hoe housewife,1,1,1,1,1,1,1
rt <user> suck dick bitch rt <user> <user> terrible hip hop dead,1,1,1,1,1,1,1
<user> 10kg already shite allowance coz eu workers lame fuck proper piss take,1,1,1,1,1,1,1
<user> yeahh tbh weirdos think sex weird way,1,1,1,1,1,1,1
<user> aaron rodgers never win ring rest sad ass career hope regular season heroics cause thats good nice day,1,1,1,1,1,1,1
hot nigga big like bobby bitch nice rt <user> <user> tho,1,1,1,1,1,1,1
<user> shut mouth little fuckin bitch,1,1,1,1,1,1,1
<user> <user> <user> <user> awesome <emoji : fire> <emoji : fire> <emoji : fire> <emoji : fire> <emoji : red_heart> <emoji : red_heart> <emoji : red_heart> <emoji : red_heart>,0,0,0,0,0,0,0
<user> divine,0,0,0,0,0,0,0
rt <user> wtf bitch 128514 128514 <url>,1,1,1,1,1,1,1
<user> <user> labour amp lib dems remain parties want leave eu option conservatives saying,0,0,0,0,0,0,0
<user> <user> haha thought omg red pilled looked back replies goes month back find convo thought ask good one brother maga,0,0,0,0,0,0,0
<user> quit calling liberals call socialist democrats,0,0,0,0,0,0,0
<user> knew lie see laughing writing way engrossed thames playing right fm19 beta comes,0,0,0,0,0,0,0
<user> great job winning debate tonight clearly best candidate us wait vote tuesday,0,0,0,0,0,0,0
<user> boobs forget tatas <emoji : red_heart>,1,1,1,1,1,1,1
bitch caught body week ago fuck us get tweekin hoe run niggah get <url>,1,1,1,1,1,1,1
<user> ok give u low life conservatives move u got one year til election canadians show u want racist running r country grow let talk u dont like anybody dont look like u,1,1,1,1,1,1,1
<user> tweets conservatives retweeting comments suddenly unavailable see talking original tweet longer available anyone else noticing,0,0,0,0,0,0,0
<user> <user> <user> typically liberals jump conclusions dont believe due process innocent proven guilty anti american bunch,1,1,1,0,1,1,1
5 things blog succeed think 3 url url,0,0,0,0,0,0,0
<user> one five dollar bills,0,0,0,0,0,0,0
<user> happens let liberal get hold gun would good place start gun control ban liberals getting guns,1,1,0,0,0,0,0
<user> 128514 128514 128514 128514 128514 yeah read yo shit fast bitch,1,1,1,1,1,1,1
girl plain looking borderline ugly amp chunky hey least got nice smile amp great personality,1,1,1,1,1,1,1
<user> <user> <user> <user> <user> apparently free market narrative convenient today tired hearing free markets conservatives turn around pick winners losers market,0,0,1,0,0,0,0
guncontrolnow running hit piece cmp cmp teaches gun safety young people promotes responsible gun ownership sell called assault weapons banners targeting clear gun control url,0,1,0,0,0,0,0
<user> put gun control policy website,0,0,0,0,0,0,0
<user> house flowers shits crazy,1,1,1,1,1,1,1
<user> <user> sending commiserations cardinal losses brioche cinnamon roll picture url,1,0,0,0,0,0,0
<user> bad chaid <emoji : face_with_tears_of_joy> <emoji : face_with_tears_of_joy> <emoji : face_with_tears_of_joy> <emoji : face_with_tears_of_joy> <emoji : face_with_tears_of_joy>,0,1,0,0,0,0,0
<user> <user> steroid girl steroid rage,1,1,1,1,1,1,1
rt <user> cant pass asvab might well go full retard,1,1,1,1,1,1,1
<user> better think back,0,0,0,0,0,0,0
<user> tell leader,0,0,0,0,0,0,0
<user> <user> bitch shut building self esteem,1,1,1,1,1,1,1
<user> <user> hell liberals move california build wall east border,1,1,1,1,1,1,1
ho think two men one woman together threesome train getyamindright,1,0,1,1,1,1,1
<user> thirty aged zayn sexy though jdkdkdk even though makes emo,0,0,0,0,0,1,0
<user> like meuller hunted master sportsman powerful man world barry armed trump unwittingly lethal force barry never thought killary would lose url,0,0,0,0,0,0,0
<user> <user> <user> <user> yeeeeess,0,0,0,0,0,0,0
<user> <user> guessing willie nelson said idgaf pissing trump lemmings beto campaign rally,0,1,1,0,0,1,1
<user> <user> <user> <user> <user> <user> <user> <user> logic fails twitterer like sooo special followers believe believe stop dumb facts megy entertaining <emoji : rolling_on_the_floor_laughing> <emoji : rolling_on_the_floor_laughing> <emoji : rolling_on_the_floor_laughing> <emoji : rolling_on_the_floor_laughing> <emoji : rolling_on_the_floor_laughing> <emoji : rolling_on_the_floor_laughing> <emoji : rolling_on_the_floor_laughing> <emoji : rolling_on_the_floor_laughing> <emoji : rolling_on_the_floor_laughing>,0,1,1,1,1,1,1
<user> come long line bigots morons hard grapple first gets better fill void fundamentally decent ppl eventually realize better,1,1,1,1,1,1,1
roll tide bitches,1,1,1,1,1,1,1
quit hoggin blunt bitch,1,1,1,1,1,1,1
<user> paul mccartney faggot,1,1,1,1,1,1,1
rt <user> body thought get extra hr sleep brain decided wake 2 hrs earlier brains bitch,1,1,1,1,1,1,1
2010 conservatives slash housing associations annual capital funding 3bn year 450m 25bn 10yrs 2018 theresamay announces groundbreaking housing initiative 2bn decade 200m year <emoji : houses> housingforall housingcrisis housingmarket nhf18 url,0,0,0,0,0,0,0
<user> obviously antifa threatening force continue charade,1,1,0,0,0,0,0
<user> hope fucken dinosaur thought steinbrenner <emoji : face_with_tears_of_joy> <emoji : face_with_tears_of_joy>,1,1,1,1,1,1,1
lmaoooooooo rt <user> woke faggot didnt rt <user> nigga get carded since sophomore b,1,1,1,1,1,1,1
<user> monte fuckin knows point,1,1,1,1,1,0,1
<user> <user> <user> steps pivot away china tpp trump pacific partnership tell us companies offshore countries ban products china include stolen intellectual property disclosing ip business china maga <user> <user> <user>,0,0,0,0,0,0,0
<user> damn catholics,1,1,1,0,1,1,1
<user> <user> <user> scary super experienced knowledgeable members antifa <user> match sarcasm serious question left leaders manipulate unintelligent inexperienced youth groups form taking advantage abuse unwary weak url,1,1,0,0,0,1,0
gta online today bitch ass niggas,1,1,1,1,1,1,1
hate see cold hoe tryna kick knowledge,1,1,1,1,1,1,1
<user> <user> <user> love eagles family,0,0,0,0,0,0,0
<user> beaboutit anyone california see utterly defenseless gun control agenda makes people bravery backed effective tools prevents loss life good guy willing win cost,0,0,0,0,0,0,0
<user> <user> get knees thank god people love america,0,0,0,0,0,0,0
<user> innocent proven guilty think time run personnel think lying someone paying lie jmo,1,0,0,0,1,0,0
<user> please shut ontario seeing conservatives stand <user> helping loose province never going anywhere way completely tune canadian mr harper oops mean mr scheer common mistake much alike,0,0,0,0,0,0,0
<user> talking every hick san antonio ride big 45 console,1,0,1,1,1,1,1
<user> <user> excuse got hurricane expecting tract houses lean expecting honorable people liketrump corruption continue vote wake flushing swamp need flush swamp,1,0,1,1,1,1,1
<user> place <emoji : weary_face>,0,0,0,0,0,0,0
<user> vile creature trying portray fierce bitch time knows gun control conversation paper tiger,1,1,1,1,1,1,1
maga 11 url,0,0,0,0,0,0,0
<user> <user> argue,0,0,0,0,0,0,0
rt <user> sooner later ya pussy gon tell truth let hope cause ima kill u,1,1,1,1,1,1,1
know stay fuck bitch shit street nigga thats gon na get,1,1,1,1,1,1,1
<user> painter <emoji : thumbs_up> <emoji : smiling_face_with_heart-eyes> <emoji : smiling_face_with_heart-eyes> <emoji : smiling_face_with_heart-eyes> <emoji : smiling_face_with_sunglasses> <emoji : smiling_face_with_sunglasses> <emoji : smiling_face_with_sunglasses> <emoji : ok_hand>,0,0,0,0,0,0,0
<user> de created slowly stealthily since conservatives came power hunt done sterling job,0,0,0,0,0,0,0
rt <user> niggas drop outta high school amp get job mcdonalds talkin bout grind lmao okay grind oreo mcflurr 8230,1,1,1,1,1,1,1
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> keep going patriots friends spam spam send followers url,0,1,0,0,0,0,0
<user> excellent timing url,0,0,0,0,0,0,0
<user> good look,0,0,0,0,0,0,0
democrats liberals give damn <user> allegedly committing physical violence ex girlfriend rush discredit kavanaugh 35 year old vague 11th hour accusation walkaway hypocrites,1,1,1,1,1,1,1
<user> <user> <user> <user> <user> <user> <user> <user> sounds relevant march mumbai woke snowflakes gun control <emoji : face_with_tears_of_joy> abortion india legal woman choice required take circus elsewhere instead take issue oppression hindus india least relevant,1,0,0,0,0,0,0
<user> congratulations google finally revealed chinese controlled company become,0,0,0,0,0,0,0
<user> fukushima daiichi hurricane comparing apples amp orangutans,0,0,0,0,0,0,0
rt <user> ifshecantsuckthedickright slap forehead bitch needs spankin discipline ass 128514 9995,1,1,1,1,1,1,1
<user> love kayla glad okay,0,0,0,0,0,0,0
<user> awful,1,1,1,1,1,0,1
<user> <user> <user> <user> <user> <user> arms regulated law regulations aimed near universal armament training contemporary military grade design arms personally owned possessed amp kept home people 2a constitutional gun control,0,0,0,0,0,0,0
everyone tells exact thing listen coon,1,1,1,1,1,1,1
7y think could jump gestures dead raccoon road probably 7y successful jumps raccoon bike super happy kind dead inside like,0,0,0,0,0,0,0
<user> couch,0,0,0,0,0,0,0
<user> <user> wrong side gun control already knew,0,0,0,0,0,0,0
8220 <user> <user> find loyal ho 8221 <user> 128521,1,1,1,1,1,1,1
rt <user> alot good girls made twitter amp became hoe attention receive fathers,1,1,1,1,1,1,1
<user> <user> see mess europe pr examples giving liberals go anything government always ends disaster welcome url,0,0,0,0,0,0,0
<user> cutie love,0,0,0,0,0,0,0
<user> <user> <user> <user> <user> boy smoking marijuana hanging pornstar escort girl paying people keep slave slave insane url,1,1,1,1,1,1,1
<user> great gun control takes concentration steady hand way go girl url,1,0,0,0,0,0,0
<user> people absolutely insane liberals attacking white men years getting worse path pushing create another civil war recovery damn stupid see,1,1,1,1,1,1,1
<user> <user> prison system fucked still getting away potentially murder intent prisoners die hurricane louisiana like 500 inmates went missing,1,1,1,1,1,1,1
<user> al franken photo assaulting woman liberals called mock groping woman accusing kavanaugh already changed story four guys two alleged incident even testify,0,0,1,0,0,0,0
rt <user> honestly kind get offended people ask eyelashes fake fake eyelashes long bitches 9995 128129,1,1,1,1,1,1,1
<user> <user> trashing along even allies,1,1,1,1,1,1,1
<user> buck spiderman url,0,0,0,0,0,0,0
<user> sounds like joined antifa gov <user> wa state recently took anti police stance sign certificates recognizing top 20 law enforcement officers police combat competition excellence thinblueline maga kag bluelivesmatter lawenforcement 2a <user>,0,0,0,0,0,0,0
need hispanic pussy,1,1,1,1,1,1,1
<user>,0,0,0,0,0,0,0
<user> <user> bohot bohot badhai bhuvan bhai surpassing 10millionsubscribers milestone one man army first youtuber india jisne apne dum par 10 million subscribers pass kiye hope good news may help father speedy recovery url,0,0,0,0,0,0,0
<user> contribute maximum capacity translation vote guys criminal record like occasionally wear dresses support disrespect sacrifices represented flag,0,0,0,0,0,0,0
<user> fake national emergency created conservatives nwo bullshit,1,1,1,1,1,1,1
see fags 8 hours,1,1,1,1,1,1,1
<user> think going get better,0,0,0,0,0,0,0
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> thank <emoji : red_heart>,0,0,0,0,0,0,0
<user> true ride die bitch 128175 <url> fuck hahahahah,1,1,1,1,1,1,1
<user> dog sooo unique adorable <emoji : face_blowing_a_kiss> <emoji : two_hearts>,0,0,0,0,0,0,0
<user> fucking way said,0,1,1,1,1,1,1
photo filtering bitches 128128 128128 128128 128128 turntup webad wepretty gayvegas rupaulsdragrace barb minaj <url>,1,1,1,1,1,1,1
<user> <user> gon na suck gun control,1,1,1,1,1,1,1
<user> people support gun control important care humans life,0,0,0,0,0,0,0
forget resting bitch face next hot new trend resting drunk face,1,1,1,1,1,1,1
rt <user> <user> bitch nobody care,1,1,1,1,1,1,1
rt <user> good pussy takes mind struggles stresses everyday life,1,1,1,1,1,1,1
<user> thinks talk referee like expect everyone support treat specially,0,0,0,0,0,0,0
<user> <user> go antifa ppl like friggen milo buy conservatives like medicare blackout going millennials antifa protests,1,0,0,0,0,0,0
<user> coming man threatened try kick turmps ass take set ball,1,1,1,1,1,1,1
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> sexy girl <emoji : smiling_face_with_heart-eyes>,0,0,1,0,0,1,0
<user> <user> checking privilege url rightsideofhistory bigtech,0,0,0,0,0,0,0
<user> <user> really sickening issue liberals vicious,1,1,1,1,1,1,1
rt <user> rub orange peels dick go cuz want bitches catch cold vitaminsemen prairie 8230,1,1,1,1,1,1,1
<user> <user> liar supporters talking embarrassed last president went world apology tour even bowed like servant url,1,1,1,1,1,1,1
<user> believe talented matter performs hard put category think,0,0,0,0,0,0,0
<user> hope liberals heads exploding hoping,0,0,0,0,0,0,0
<user> <user> white male republican maga,0,0,0,0,0,0,0
got hoes sell shop lmfao trekgang <url>,1,1,1,1,1,1,1
<user> <user> <user> <user> liberals sure delusional lot ha url,0,1,0,0,0,0,0
<user> <user> <user> non citizens looking free ride backs american taxpayer liberals looking votes like pyramid need bring new people bottom support top,0,0,0,0,0,0,0
<user> <user> never give never give never ever back never ever surrender americans hearts bleed red white blue president donald j trump maga voterepublican2018 votered2018 americafirst keepamericagreat,0,0,0,0,0,0,0
<user> lil nig 128526,1,1,1,1,1,1,1
<user> <user> <user> worries antifa still live parents basement go community college,1,0,0,0,0,1,0
bitch thats yo nigga 128064 well aint bitch 128514 128514 9996 65039 9996 65039 9996 65039,1,1,1,1,1,1,1
<user> <user> behind eating profits must h1b,0,0,0,0,0,0,0
<user> wapo idiot comment disgrace journalism sad,1,1,1,1,1,1,1
<user> <user> <user> <user> <user> speak rest us,0,0,0,0,0,0,0
<user> boycott nfl,0,0,0,0,0,0,0
rt <user> <user> wan na know gon na go fuck shit amp go fuck bitches 128514 128536 128521,1,1,1,1,1,1,1
rt <user> really get excited see bad bitch association lunch everyday always make laugh,1,1,1,1,1,1,1
<user> holy shit better drinking milk eating else <emoji : nauseated_face>,1,1,1,1,1,1,1
<user> weather,0,0,0,0,0,0,0
<user> <user> island dummy,0,1,0,0,0,0,0
chris christie kavanaugh allegations extraordinarily unfair url tcot maga rednationrising,0,0,0,0,0,0,0
<user> got ta keep gun control law get terrorists,1,1,1,1,1,1,1
<user> <user> antifa sign anything paid enough,0,0,0,0,0,0,0
<user> still making bread,0,0,0,0,0,0,0
<user> disgusting,1,1,1,1,1,1,1
<user> tbh could stop spreading rumors false news hurt enough dont need shit,1,1,1,1,1,1,1
8220 <user> kim kardashian looking good 8221 still look better called bad bitches,1,1,1,1,1,1,1
<user> happened wokeisis,0,0,0,0,0,0,0
<user> <user> <user> <user> <user> <user> gt comparing antifa weaklings wwii soldiers,1,0,1,0,0,0,0
heard haters talking heard bitches fucking must something right,1,1,1,1,1,1,1
<user> <user> better idea mr guterriz whatever name resign amp go hell back wherever hell people came sake country,1,1,1,1,1,1,1
<user> <user> <user> <user> right dang,0,0,0,0,0,0,0
<user> much money conservatives promised housing last ten years many houses actually built promises add,0,0,0,0,0,0,0
<user> burn nike gear everyone know done buying nike oops conservatives ones buying nike r ones making money way way us <emoji : middle_finger> nike,0,0,0,0,0,1,0
<user> <user> fluffy bastard url,1,1,1,1,1,1,1
bitches kids retarded,1,1,1,1,1,1,1
rt <user> boyfriend allowed give girl jacket hoe knows damn well channel weather cou 8230,1,1,1,1,1,1,1
rt <user> like girls around 128564 niggas really cuffin community pussy,1,1,1,1,1,1,1
time hop makes realize much faggot lol,1,1,1,1,1,1,1
<user> <user> violating conservatives freedom speech censorship important thought today used conservatives say tomorrow depends holding power sounds like communism,0,0,0,0,0,0,0
<user> lines moore,0,1,0,0,0,0,0
<user> oh shit stay safe,0,0,1,1,1,1,1
<user> <user> think knows <user> going lose anyway nothing lose battle like suicide bomber think tactically unfortunately lie stay news,1,0,1,0,0,0,0
<user> good shit kaepernick great model young kids play football stand believe,1,1,1,1,1,1,1
<user> amazing pope afraid truth,1,0,0,1,0,1,0
<user> <user> little ass boy <emoji : monkey>,1,1,1,1,1,1,1
rt <user> got type bad bitches thing like,1,1,1,1,1,1,1
<user> sorry bag listening amp dark url,0,0,0,0,0,0,0
<user> another b story one watching football,1,0,0,0,0,0,0
rt <user> cheat bitch,1,1,1,1,1,1,1
<user> <user> hope paid use image appropriate tax course url,0,0,0,0,0,0,0
<user> one best teachers know friend,0,0,0,0,0,0,0
<user>,0,0,0,0,0,0,0
<user> <user> fake news term used rather word deception maga walkaway redtsunami,0,0,0,0,0,0,0
<user> going creek obama clinton,0,0,0,0,0,0,0
<user> trumps promise border wall pay lie gun control innocent lives taken,1,1,1,1,0,1,1
<user> height ecstasy body,1,0,1,1,1,1,1
<user> obvious last minute liberal ploy delay confirmation dirty tricks since liberals lost previous election,0,0,1,0,0,0,0
<user> <user> <user> <user> <user> <user> works sports chose represent country country known playing sport achievements sport taking away haitian heritage using country represents sport,0,0,0,0,0,0,0
<user> got pussy kicked done <user> wins per fox news election2014 tcot gop teaparty p2,1,1,1,1,1,1,1
<user> <user> <user> <user> <user> conservatives never believe women amazing assume lying every single time remembering exact date high school drinking party rather silly thing expect quick exact date one got drunkest name everyone,1,0,1,1,0,1,1
<user> liberals,0,0,0,0,0,0,0
<user> <user> antifa apologist journo looking job need know,0,0,0,0,0,0,0
<user> funny obama starting talking gun control shootings started happening correlation definitely,1,0,0,0,0,0,0
<user> pussy ass <emoji : victory_hand_medium-dark_skin_tone> different times never black life ever ate chittlerings lol,1,1,1,1,1,1,1
bitch ass hoe ass nigga prolly get pussy,1,1,1,1,1,1,1
<user> <user> donald trump office democrats good portion republicans shadow government complicit globalist international communist,1,1,1,0,0,1,1
<user> <user> good come back lol maga,0,0,0,0,0,0,0
<user> jack dorsey credit openly acknowledged culture within company hostile conservatives question going url url,0,0,0,0,0,0,0
<user> handsome,0,0,0,0,0,0,0
<user> easy say gets brownie points without negotiating goes sour gets accuse federal liberals hates good politics dougie,0,0,0,0,0,0,0
<user> texas race race believe liberals,0,0,0,0,0,0,0
<user> jose ramirez stealing hitting average hitting homer doubles playing good defense definitely blake snell cy young look numbers hes like jacob degrom al,1,0,0,0,0,0,0
<user> hates,0,1,0,1,1,0,1
<user> <user> <user> seem forgotten facts mayor dying speech 100s pallets supplies behinder warehouse supplies found rotting runway pallets water never distributed mayor getting indicted,0,0,0,0,0,0,0
<user> treason hang business even trying f think trump needs lock fast,1,1,1,1,1,1,1
recession everything rt <user> chasing pussy never attractive,1,1,1,1,1,1,1
business business love story url,1,0,0,0,0,0,0
<user> <user> common message liberals democrats remember nancy pelosi approve health care package obama care see afterwards <emoji : thinking_face>,0,0,0,0,0,0,0
tell bitch want loveeeee,1,1,1,1,1,1,1
hate ah dirty house foul living bitches,1,1,1,1,1,1,1
<user> killer house maga walldoesntprotectfromamericans,1,1,1,0,1,1,1
rt <user> boosie said got bitch sip thots gon na boosie bitch da sip bio bethiphopawards 8230,1,1,1,1,1,1,1
rt <user> trash <user> gay chris bosh jokes getting old,1,1,1,1,1,1,1
womenshouldruletheworld url via <user>,0,0,0,0,0,0,0
<user> chelsea crazy mother,1,1,1,1,1,1,1
rt <user> seem like dese bitches loyal,1,1,1,1,1,1,1
<user> blame trump weather corruption existed decades pr ass typical democratic,1,1,1,1,1,1,1
<user> <user> anderson lies report fact get except blm amp antifa real viewers,0,0,0,0,0,0,0
<user> migration advisory committee says immigration impact infrastructure services could <user> cuts instead,0,0,0,0,0,0,0
<user> lying stick facts pay,0,0,0,0,0,0,0
<user> <user> every identity deals rep differently say conservatives ostracized canadian campuses views pretty dumb never seen conservative booth uni society expo let alone even try organize something conservative,0,1,0,0,0,0,0
<user> issue one pink unicorn,0,0,0,0,0,0,0
<user> <user> nice welcome,0,0,0,0,0,0,0
<user> please get better barber first,0,0,0,0,0,0,0
<user> <user> think ask <user> means think talking passion talking destructive behaviors youth sports let expound jumping conclusions think insinuated passion though,0,0,0,0,0,0,0
<user> <user> <user> expected placate violent leftists terrorists kavanaughconfirmation woke,1,1,1,1,0,1,1
<user> bitch probably deserved lol,1,1,1,1,1,1,1
rt <user> <user> aye everyone buy bombass brownies tomorrow wigga <user> contain marijuana b 8230,1,1,1,1,1,1,1
<user> thanks follow days cybersecurity brand reputation marketing begun part,0,0,0,0,0,0,0
<user> im pretty sure would better president 13,0,0,0,0,0,0,0
<user> <user> liberals games,0,0,0,0,0,0,0
<user> <user> ewww said last sunday last sunday read nigs 128563 128563 128563 128563 128563,1,1,1,1,1,1,1
<user> devout members antifa though sure,0,0,0,0,0,0,0
<user> <user> dick damn know bhadbhabie actually bhadtranny,1,1,1,1,1,1,1
<user> <user> <user> best warrior <emoji : man_shrugging_medium-dark_skin_tone>,0,0,0,0,0,0,0
<user> omg first person seen complain husband,0,0,0,0,0,0,0
<user> monkey amp cigarette dead serious 128514,1,1,1,1,1,1,1
<user> <user> delusional,0,1,1,1,0,1,1
<user> congratulations great american president great things together maga q 2 wwg1wga,0,0,0,0,0,0,0
8220 <user> <user> woke bitches lol 8221 angry wit hoes 128514,1,1,1,1,1,1,1
<user> god help us,0,0,0,0,0,0,0
swear hate im somewhere woman catches rubberband clearly says kappa alpha psi ask kappa yes bitch lol,1,1,1,1,1,1,1
many chicks trying wavey bitches,1,1,1,1,1,1,1
quote best racist comment need white bitch comin black side llab,1,1,1,1,1,1,1
<user> unless like old skin bag cher coming back coming back stretchedface,1,1,1,1,0,1,1
tories labour ge2017 conservatives conservatives url cchqpress <emoji : houses> pm natfednews today announce new longer term partnerships opened ambitious housing associations ground breaking 2 billion initiative,0,0,0,0,0,0,0
<user> <user> know could go drink bleach bitch,1,1,1,1,1,1,1
gim another beer bitch,1,1,1,1,1,1,1
4 dead mass shooting fifth third bank building downtown cincinnati deep state fake news crisis actor alert gun control bullshit f feinstein obama url via,1,1,1,1,0,1,1
rt <user> bitch got real life hippo pet <url>,1,1,1,1,1,1,1
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> biggest balls saying <emoji : rolling_on_the_floor_laughing> <emoji : rolling_on_the_floor_laughing> <emoji : rolling_on_the_floor_laughing> <emoji : united_states> maga url,0,1,0,0,0,0,0
<user> <user> really army ajsvsnsksjsj love family,0,0,0,0,0,0,0
<user> <user> tf look like delivery bitch ahaha,1,1,1,1,1,1,1
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> retweet end time maga trump2020 beyond,1,0,0,0,0,0,0
<user> must gotten email feinstein <emoji : winking_face_with_tongue>,0,0,0,0,0,0,0
school please fuckin remove random ass trash cans middle hallway always fuckin run,1,1,1,1,1,1,1
hoes making twerk videos talking bout playing around bitch know serious,1,1,1,1,1,1,1
rt <user> lol bitch cool sit get kill get twitter talk,1,1,1,1,1,1,1
<user> hiding like caged animal,1,1,1,1,1,1,1
<user> see support gun control <emoji : grinning_face>,1,0,0,0,0,0,0
<user> want somewhat collage money jewels cartiers etc jus little shit let niccas know still,1,1,1,1,1,1,1
<user> document women signed know anything accusation sounds cover planned disgrace office hold,1,1,1,1,1,1,1
<user> <user>,0,0,0,0,0,0,0
rt <user> rip bitch 128175,1,1,1,1,1,1,1
<user> <user> another fraud put democrats woman lying help party nothing liberal nutjob would say anything try keep conservatives majority scotus,1,1,1,1,1,1,1
<user> one mastermind big syndicate boc forget go jail <emoji : enraged_face> fakedrugwar,1,1,0,1,1,0,1
rt <user> andy went owning toys owning bitches also tf coke teaching class 128514 <url>,1,1,1,1,1,1,1
